https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1747526400000,2025-05-18 00:00:00,BCH/USDT,392.14,407.98,389.37,406.32,6154110.91,15401.875036,3318959.33,8305.96132,180900,399.6
1747440000000,2025-05-17 00:00:00,BCH/USDT,395.7,401.58,385.79,392.13,6477728.35,16455.800229,3517898.34,8936.845226,190078,393.67
1747353600000,2025-05-16 00:00:00,BCH/USDT,396.06,403.15,392.66,395.72,7310917.61,18315.217943,3990681.97,9997.17785,214613,399.18
1747267200000,2025-05-15 00:00:00,BCH/USDT,402.48,404.88,383.41,396.08,7980922.52,20245.320544,4384084.07,11120.664703,233419,394.25
1747180800000,2025-05-14 00:00:00,BCH/USDT,411.08,413.33,398.85,402.5,9183486.34,22611.358146,5100725.93,12558.200951,270985,406.16
1747094400000,2025-05-13 00:00:00,BCH/USDT,410.49,415.56,392.13,411.09,10646431.89,26412.368963,5891583.58,14615.1881,311000,403.16
1747008000000,2025-05-12 00:00:00,BCH/USDT,408.29,419.01,395.85,410.5,9498430.47,23132.245097,5340250.86,13005.850954,278132,410.64
1746921600000,2025-05-11 00:00:00,BCH/USDT,431.26,432.07,402.39,408.23,9784224.48,23667.602947,5451043.63,13184.704026,288399,413.48
1746835200000,2025-05-10 00:00:00,BCH/USDT,413.74,432.9,409.64,431.29,7888260.05,18827.443459,4328327.69,10330.724308,230396,419.01
1746748800000,2025-05-09 00:00:00,BCH/USDT,421.79,429.6,403.39,413.7,11478105.13,27743.273708,6437811.32,15560.977957,337029,413.79
1746662400000,2025-05-08 00:00:00,BCH/USDT,383.65,429.99,381.03,421.86,8689162.22,20891.423956,4765775,11457.494481,255901,416.06
1746576000000,2025-05-07 00:00:00,BCH/USDT,373.88,391.02,355.1,383.52,6253072.86,16942.053365,3344096.1,9060.666153,182939,369.23
1746489600000,2025-05-06 00:00:00,BCH/USDT,353.4,374.01,350.4,373.9,5524445.46,15453.882962,2936901.3,8215.368363,161080,357.52
1746403200000,2025-05-05 00:00:00,BCH/USDT,356.23,361.28,349.56,353.41,5689943.82,16022.379983,3026333.08,8522.305713,167153,355.14
1746316800000,2025-05-04 00:00:00,BCH/USDT,362.79,370.29,353.04,356.21,4384473.89,12213.623622,2309814.15,6434.332374,128708,359.01
1746230400000,2025-05-03 00:00:00,BCH/USDT,382.92,383.62,362.6,362.85,4538495.19,12316.365281,2364963.31,6417.745492,134004,368.52
1746144000000,2025-05-02 00:00:00,BCH/USDT,360.77,386.49,359.18,382.94,6289954.53,16885.12142,3315380.44,8899.786407,185258,372.61
1746057600000,2025-05-01 00:00:00,BCH/USDT,365.91,374.38,360.18,360.73,7087045.2,19310.685783,3842161.02,10468.923007,208917,367.02
1745971200000,2025-04-30 00:00:00,BCH/USDT,363.5,369.49,355.06,365.9,7045439.04,19350.067684,3785151.47,10396.067767,207795,364.11
1745884800000,2025-04-29 00:00:00,BCH/USDT,363.92,376.92,360.34,363.48,6633957.82,17927.550525,3516578.18,9503.040736,196788,370.07
1745798400000,2025-04-28 00:00:00,BCH/USDT,345.57,369.96,342.09,363.92,8890334.1,25368.903498,4768759.34,13607.021371,260161,350.47
1745712000000,2025-04-27 00:00:00,BCH/USDT,355.47,360.15,345.28,345.57,5090223.83,14470.777976,2693787.82,7657.924899,149474,351.77
1745625600000,2025-04-26 00:00:00,BCH/USDT,372.99,377.39,355.05,355.49,5708024.03,15637.407378,3039857.26,8327.350445,167937,365.15
1745539200000,2025-04-25 00:00:00,BCH/USDT,356.72,384.82,348.09,373.01,7052256.77,19173.463144,3772511.72,10255.010342,207551,368.05
1745452800000,2025-04-24 00:00:00,BCH/USDT,358.14,367.44,343.54,356.74,7231643.26,20365.409272,3869384.6,10897.066217,212032,355.17
1745366400000,2025-04-23 00:00:00,BCH/USDT,362.12,363.78,353.56,358.14,9553425.68,26601.227933,5206307.02,14496.986721,281795,359.14
1745280000000,2025-04-22 00:00:00,BCH/USDT,344.95,364.78,336.88,362.1,6735851.29,19190.735069,3644373.86,10380.989222,198254,351.13
1745193600000,2025-04-21 00:00:00,BCH/USDT,335.94,347.79,335.72,344.98,5692358.06,16661.722905,3049181.12,8924.746086,166944,341.66
1745107200000,2025-04-20 00:00:00,BCH/USDT,335.46,342.01,331.32,335.94,3345355.4,9966.144522,1746978.92,5204.286444,98861,335.68
1745020800000,2025-04-19 00:00:00,BCH/USDT,334.89,339.94,332.77,335.47,3737822.93,11101.335554,1956877.86,5811.897757,109221,336.7
1744934400000,2025-04-18 00:00:00,BCH/USDT,333.27,344.78,327.19,334.91,3617168.12,10827.901736,1929135.11,5775.528877,106160,334.14
1744848000000,2025-04-17 00:00:00,BCH/USDT,321.44,340.36,320.78,333.27,5147964.85,15536.50595,2768349.38,8355.129132,150824,331.4
1744761600000,2025-04-16 00:00:00,BCH/USDT,319.65,325.5,314.1,321.43,7113355.47,22191.48295,3856448.4,12030.872679,209133,320.55
1744675200000,2025-04-15 00:00:00,BCH/USDT,323.51,337.21,317.24,319.65,6111156.71,18697.302583,3265871.13,9991.924104,179761,326.91
1744588800000,2025-04-14 00:00:00,BCH/USDT,342.64,374.15,323.29,323.5,7723864.95,22845.420084,4226638.87,12498.769743,227027,338.41
1744502400000,2025-04-13 00:00:00,BCH/USDT,344.53,353.43,336.14,342.64,6460251.84,18849.562441,3468892.1,10121.734478,189312,342.76
1744416000000,2025-04-12 00:00:00,BCH/USDT,312.69,357.11,311.11,344.55,6351029.09,19516.117133,3439670.71,10569.570595,187114,326.19
1744329600000,2025-04-11 00:00:00,BCH/USDT,289.62,315.99,289.3,312.7,7945395.99,26164.664239,4303464.33,14171.887709,233391,303.83
