https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1575590400000,2019-12-06 00:00:00,DASH/USDT,50.16629977,52.87169999,50.16629977,52.30005,38361.87071271,748.69347285,0,0,0,51.23842013
1575504000000,2019-12-05 00:00:00,DASH/USDT,50.59461955,51.49917,49.50193749,49.95554983,15787.54429664,312.40819137,0,0,0,50.5349883
1575417600000,2019-12-04 00:00:00,DASH/USDT,51.1743818,52.40366997,49.23306327,50.22698,28312.78383918,564.20807723,0,0,0,50.18145783
1575331200000,2019-12-03 00:00:00,DASH/USDT,51.66933591,52.11485,50.75935114,51.31,11137.51767906,216.79963411,0,0,0,51.37240071
1575244800000,2019-12-02 00:00:00,DASH/USDT,53.08493192,53.66607442,51.50424598,51.67089364,8064.69452517,153.97695571,0,0,0,52.37598371
1575158400000,2019-12-01 00:00:00,DASH/USDT,55.14937363,55.63127825,52.15766002,53.32838833,29183.29132644,538.96997224,0,0,0,54.14641414
1575072000000,2019-11-30 00:00:00,DASH/USDT,57,57.91362147,54.54166146,55.15687063,15953.02541473,283.67073936,0,0,0,56.23782505
1574985600000,2019-11-29 00:00:00,DASH/USDT,52.58602151,59,52.58602151,56.93849164,47636.62619111,844.35799655,0,0,0,56.41756978
1574899200000,2019-11-28 00:00:00,DASH/USDT,50.6652542,54.81896,49.48037687,52.41308956,45987.53104487,883.66559476,0,0,0,52.04178064
1574812800000,2019-11-27 00:00:00,DASH/USDT,50.17523076,52.45171,48.2,50.20985475,20076.09440731,399.66633493,0,0,0,50.23213779
1574726400000,2019-11-26 00:00:00,DASH/USDT,50.04981899,50.91205765,49.54008984,50.41964717,13897.20656254,277.04622071,0,0,0,50.16205067
1574640000000,2019-11-25 00:00:00,DASH/USDT,50.59095607,53.88519843,47.7,49.87748279,35978.44902822,716.16718655,0,0,0,50.23749999
1574553600000,2019-11-24 00:00:00,DASH/USDT,54.28492257,54.62380873,50.67578706,50.7832,18081.46567425,337.8294464,0,0,0,53.52246782
1574467200000,2019-11-23 00:00:00,DASH/USDT,55,56.49999,53.60689794,54.76745,16874.75483982,304.82532063,0,0,0,55.35877008
1574380800000,2019-11-22 00:00:00,DASH/USDT,60.17915182,61.35705998,53.37270518,55,68937.18231742,1231.45137311,0,0,0,55.980434
1574294400000,2019-11-21 00:00:00,DASH/USDT,63.66842434,64.43665,59.47808065,60.37388974,28428.32887136,456.58049984,0,0,0,62.26356333
1574208000000,2019-11-20 00:00:00,DASH/USDT,64.87196,65.5621283,63.37731,63.68905107,8913.6247835,139.09448393,0,0,0,64.08323703
1574121600000,2019-11-19 00:00:00,DASH/USDT,64.25271753,65.60118,63.09,65.3752482,28233.7161999,435.70604489,0,0,0,64.7999185
1574035200000,2019-11-18 00:00:00,DASH/USDT,67.5,67.7107,63.76318,64.2987241,17027.23081786,258.55776167,0,0,0,65.85464968
1573948800000,2019-11-17 00:00:00,DASH/USDT,68,68.28471859,67.10019623,67.58620689,7089.81980931,104.8027499,0,0,0,67.64917729
1573862400000,2019-11-16 00:00:00,DASH/USDT,67.83364475,67.87306915,67.555482,67.8,1150.3172256,16.97980635,0,0,0,67.74619226
1573776000000,2019-11-15 00:00:00,DASH/USDT,68.67777856,69.56064,66.50000003,68.2,17021.99501839,249.30373115,0,0,0,68.27813984
1573689600000,2019-11-14 00:00:00,DASH/USDT,69.91780991,69.91780991,68.35255362,68.92859988,12895.47415286,186.49626237,0,0,0,69.14601927
1573603200000,2019-11-13 00:00:00,DASH/USDT,70.25979256,70.7,69.5,69.76162794,22487.62203076,322.10911442,0,0,0,69.81367811
1573516800000,2019-11-12 00:00:00,DASH/USDT,70.22129995,70.6643,69.11019032,70.44818,9082.6264716,129.69102897,0,0,0,70.03280445
1573430400000,2019-11-11 00:00:00,DASH/USDT,71.9208,72.3,69.48,70.22129995,8295.13682002,116.7871043,0,0,0,71.02784909
1573344000000,2019-11-10 00:00:00,DASH/USDT,69.53054158,71.8848342,69.1109,71.36280625,33289.46386493,471.91948617,0,0,0,70.54055795
1573257600000,2019-11-09 00:00:00,DASH/USDT,69.46726863,70.34141755,69.1109,69.5738,9950.80803408,143.35080701,0,0,0,69.41577966
1573171200000,2019-11-08 00:00:00,DASH/USDT,72.04471726,72.5934,67.9,69.78202,14471.92365839,207.72637672,0,0,0,69.66820433
1573084800000,2019-11-07 00:00:00,DASH/USDT,74.01822,74.01822,71.54735432,72.19399646,16918.36165917,231.82675103,0,0,0,72.97847027
1572998400000,2019-11-06 00:00:00,DASH/USDT,74.22865518,74.7101989,72.7,74.4206,15798.993693,214.81584999,0,0,0,73.54668518
1572912000000,2019-11-05 00:00:00,DASH/USDT,72.93375528,74.63956962,71.68120368,74.25311499,21526.57827157,295.73817801,0,0,0,72.78931119
1572825600000,2019-11-04 00:00:00,DASH/USDT,71.1,73.32642,70.87761195,72.58000001,32493.47776092,451.19516339,0,0,0,72.0164585
1572739200000,2019-11-03 00:00:00,DASH/USDT,72.28745141,72.37213032,70.5,71.15,4085.70678518,57.48242789,0,0,0,71.07749159
1572652800000,2019-11-02 00:00:00,DASH/USDT,71.7479016,72.39464546,71.31574655,72,4023.72287647,55.95041107,0,0,0,71.91587692
1572566400000,2019-11-01 00:00:00,DASH/USDT,71.40626001,72.0939,70.17663078,71.61099934,18265.9535698,257.7054679,0,0,0,70.87918513
1572480000000,2019-10-31 00:00:00,DASH/USDT,72.29050987,72.75505999,69.53010227,71.08435,8962.11123057,126.13769542,0,0,0,71.05022174
1572393600000,2019-10-30 00:00:00,DASH/USDT,73.18033,74.43849,71.00000001,72.7072191,20989.99316044,289.15222763,0,0,0,72.59149733
1572307200000,2019-10-29 00:00:00,DASH/USDT,71.76211587,76.15688,71.54008634,72.5171345,27728.11538238,380.49280146,0,0,0,72.87421805
