https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1576108800000,2019-12-12 00:00:00,ZRX/USDT,0.22280849,0.2228085,0.21583943,0.21761275,306.11671109,1405.49463483,0,0,0,0.21779998
1576022400000,2019-12-11 00:00:00,ZRX/USDT,0.22,0.22525084,0.21810668,0.22336572,807.9903232,3653.48585105,0,0,0,0.221156
1575936000000,2019-12-10 00:00:00,ZRX/USDT,0.23097427,0.23097427,0.22,0.22615125,1850.72282819,8255.44609295,0,0,0,0.22418204
1575849600000,2019-12-09 00:00:00,ZRX/USDT,0.23526779,0.2374873,0.22939242,0.23048861,310.76032906,1323.16346042,0,0,0,0.23486163
1575763200000,2019-12-08 00:00:00,ZRX/USDT,0.23606316,0.2392912,0.2310852,0.23799069,773.10836486,3250.72622358,0,0,0,0.23782635
1575676800000,2019-12-07 00:00:00,ZRX/USDT,0.23768651,0.23842798,0.23538443,0.23538443,311.0362075,1308.34923245,0,0,0,0.23773179
1575590400000,2019-12-06 00:00:00,ZRX/USDT,0.23165916,0.24770575,0.23142929,0.24168617,898.95780682,3743.05472485,0,0,0,0.24016688
1575504000000,2019-12-05 00:00:00,ZRX/USDT,0.23071421,0.2371432,0.22342383,0.23165619,1662.10990531,7215.95540688,0,0,0,0.23033816
1575417600000,2019-12-04 00:00:00,ZRX/USDT,0.24411867,0.24673849,0.22752928,0.23071421,9141.32092465,39039.55639502,0,0,0,0.23415534
1575331200000,2019-12-03 00:00:00,ZRX/USDT,0.24792073,0.2495719,0.24339162,0.24380715,599.29452168,2424.08477136,0,0,0,0.24722506
1575244800000,2019-12-02 00:00:00,ZRX/USDT,0.25678796,0.25678796,0.24673849,0.24808961,1798.03762913,7155.40941974,0,0,0,0.25128368
1575158400000,2019-12-01 00:00:00,ZRX/USDT,0.25858049,0.26453435,0.24548624,0.25774915,2886.83685625,11146.40690369,0,0,0,0.25899259
1575072000000,2019-11-30 00:00:00,ZRX/USDT,0.27255198,0.27264265,0.25530758,0.25858026,2669.23890715,10150.99333228,0,0,0,0.26295346
1574985600000,2019-11-29 00:00:00,ZRX/USDT,0.2693496,0.27956864,0.2693496,0.27090147,2268.80683455,8220.88916394,0,0,0,0.27598071
1574899200000,2019-11-28 00:00:00,ZRX/USDT,0.2642278,0.2774625,0.26181812,0.2668373,7356.13032737,27331.54335288,0,0,0,0.26914434
1574812800000,2019-11-27 00:00:00,ZRX/USDT,0.24568051,0.2640303,0.23407673,0.2593098,3941.25911336,15703.15847693,0,0,0,0.25098511
1574726400000,2019-11-26 00:00:00,ZRX/USDT,0.23885014,0.25042482,0.23885014,0.24422614,719.51967496,2968.46424111,0,0,0,0.24238785
1574640000000,2019-11-25 00:00:00,ZRX/USDT,0.232466,0.25141018,0.21384526,0.23777024,9399.81202347,41283.43951269,0,0,0,0.22768965
