https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1693526400000,2023-09-01 00:00:00,ETC/USDT,15.522,15.642,15.203,15.398,6341698.65,409115.754537,3354663.56,216411.53554,92374,15.501
1693440000000,2023-08-31 00:00:00,ETC/USDT,16.005,16.187,15.142,15.522,6212091.32,393463.416875,3230087.63,204613.482788,93296,15.792
1693353600000,2023-08-30 00:00:00,ETC/USDT,16.891,16.913,16.001,16.005,6688184.98,411800.905087,3455955.79,212802.332217,97045,16.243
1693267200000,2023-08-29 00:00:00,ETC/USDT,15.898,17.173,15.599,16.893,4071030.42,251826.12812,2066421.12,127728.365805,61612,16.183
1693180800000,2023-08-28 00:00:00,ETC/USDT,16.013,16.024,15.606,15.895,4768893.39,301944.542487,2559572.99,162059.950961,69940,15.794
1693094400000,2023-08-27 00:00:00,ETC/USDT,15.867,16.064,15.773,16.019,8137388.96,511374.680839,4119222.35,258876.264527,109126,15.912
1693008000000,2023-08-26 00:00:00,ETC/USDT,16.001,16.081,15.76,15.867,7871214.71,495440.064838,4114918.79,259009.892837,104724,15.887
1692921600000,2023-08-25 00:00:00,ETC/USDT,16.039,16.084,15.732,15.998,8255231.28,518090.556867,4331691.76,271852.45541,109317,15.934
1692835200000,2023-08-24 00:00:00,ETC/USDT,16.182,16.215,15.823,16.038,8742113.47,545060.972105,4397795.86,274189.926965,115694,16.039
1692748800000,2023-08-23 00:00:00,ETC/USDT,15.519,16.233,15.481,16.179,8614587.26,543858.307636,4315056.82,272403.765994,115815,15.842
1692662400000,2023-08-22 00:00:00,ETC/USDT,15.798,15.838,14.95,15.522,8407086.17,541688.672458,4216059.91,271666.429888,110091,15.522
1692576000000,2023-08-21 00:00:00,ETC/USDT,15.561,15.95,15.354,15.798,9014652.03,575112.492255,4514986.73,288045.779533,122032,15.675
1692489600000,2023-08-20 00:00:00,ETC/USDT,15.552,15.649,15.343,15.562,14455215.26,931672.442279,7203006.44,464252.180488,198152,15.515
1692403200000,2023-08-19 00:00:00,ETC/USDT,15.441,15.719,15.314,15.556,10407633.78,671805.980286,5226598.93,337371.137207,139223,15.492
1692316800000,2023-08-18 00:00:00,ETC/USDT,14.939,15.855,14.908,15.435,6515721.21,421115.032906,3271548.31,211442.808654,109046,15.474
1692230400000,2023-08-17 00:00:00,ETC/USDT,16.268,16.415,13.625,14.946,4235864.03,263455.807872,2116950.61,131624.632849,107064,16.091
1692144000000,2023-08-16 00:00:00,ETC/USDT,16.73,16.788,16,16.271,2366100.51,143422.815318,1181893.68,71619.066705,56941,16.499
1692057600000,2023-08-15 00:00:00,ETC/USDT,17.506,17.518,16.5,16.739,4591980.64,265692.721533,2260971.81,130755.717314,83740,17.286
1691971200000,2023-08-14 00:00:00,ETC/USDT,17.519,17.634,17.369,17.508,7009232.39,399801.156953,3519377.92,200740.108961,97796,17.531
1691884800000,2023-08-13 00:00:00,ETC/USDT,17.742,17.842,17.461,17.522,8602726.89,486631.820072,4298005.55,243124.2185,112367,17.678
1691798400000,2023-08-12 00:00:00,ETC/USDT,17.627,17.753,17.596,17.743,9034019.44,511163.625454,4542717.32,257033.528047,120355,17.673
1691712000000,2023-08-11 00:00:00,ETC/USDT,17.72,17.76,17.531,17.628,9712531.67,549891.297667,4847033.82,274421.262923,106856,17.662
1691625600000,2023-08-10 00:00:00,ETC/USDT,17.844,17.875,17.639,17.723,11619416.93,654990.676161,5786252.78,326179.104467,96280,17.739
1691539200000,2023-08-09 00:00:00,ETC/USDT,17.929,18.068,17.701,17.849,10313627.9,576385.558695,5162268.8,288503.399187,86544,17.893
1691452800000,2023-08-08 00:00:00,ETC/USDT,17.709,18.113,17.596,17.934,11959219.29,672562.365233,5984844.95,336580.876257,97686,17.782
1691366400000,2023-08-07 00:00:00,ETC/USDT,17.834,18.011,17.306,17.711,11561856.99,650830.274469,5772902.11,324964.804702,96616,17.765
1691280000000,2023-08-06 00:00:00,ETC/USDT,17.934,18.012,17.809,17.83,11105077.21,619615.264165,5549917.86,309663.650856,88277,17.922
1691193600000,2023-08-05 00:00:00,ETC/USDT,17.924,17.949,17.736,17.936,9225152.05,516028.210293,4581912.86,256301.219322,87830,17.877
1691107200000,2023-08-04 00:00:00,ETC/USDT,17.938,18.125,17.748,17.923,6458296.83,359303.448442,3222192.64,179262.076946,80346,17.974
1691020800000,2023-08-03 00:00:00,ETC/USDT,18.068,18.183,17.826,17.936,11802525.67,654861.137763,5918896.18,328410.942325,83251,18.023
