date,symbol,strategy,current_price,predicted_price,next_price,investment_made,capital_before,capital_invested,capital_after,capital_gained,return_pct
2025-06-19,DASH/USDT,PolynomialRegression_degree_3,19.92,19.95,19.52,Yes,974.87,974.87,955.29,-19.58,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_3,19.52,19.76,18.82,Yes,955.29,955.29,921.03,-34.26,-0.0359
2025-06-12,DASH/USDT,PolynomialRegression_degree_4,20.69,21.7,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_4,20.48,21.26,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_4,20.22,20.82,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_4,20.12,20.68,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_4,20.17,20.11,19.65,No,974.87,0.0,974.87,0.0,0.0
2025-06-17,DASH/USDT,PolynomialRegression_degree_4,19.65,19.26,19.85,No,974.87,0.0,974.87,0.0,0.0
2025-06-18,DASH/USDT,PolynomialRegression_degree_4,19.85,19.27,19.92,No,974.87,0.0,974.87,0.0,0.0
2025-06-19,DASH/USDT,PolynomialRegression_degree_4,19.92,19.57,19.52,No,974.87,0.0,974.87,0.0,0.0
2025-06-20,DASH/USDT,PolynomialRegression_degree_4,19.52,19.35,18.82,No,974.87,0.0,974.87,0.0,0.0
2025-06-12,DASH/USDT,PolynomialRegression_degree_5,20.69,25.97,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_5,20.48,25.85,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_5,20.22,25.71,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_5,20.12,25.63,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_5,20.17,25.48,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,PolynomialRegression_degree_5,19.65,25.29,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,PolynomialRegression_degree_5,19.85,25.28,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,PolynomialRegression_degree_5,19.92,25.35,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_5,19.52,25.29,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-06-12,DASH/USDT,PolynomialRegression_degree_6,20.69,40.05,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_6,20.48,40.03,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_6,20.22,40.0,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_6,20.12,39.98,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_6,20.17,39.95,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,PolynomialRegression_degree_6,19.65,39.91,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,PolynomialRegression_degree_6,19.85,39.9,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,PolynomialRegression_degree_6,19.92,39.9,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_6,19.52,39.89,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-06-12,DASH/USDT,PolynomialRegression_degree_7,20.69,53.05,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_7,20.48,53.04,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_7,20.22,53.03,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_7,20.12,53.02,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_7,20.17,53.01,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,PolynomialRegression_degree_7,19.65,52.99,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,PolynomialRegression_degree_7,19.85,52.98,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,PolynomialRegression_degree_7,19.92,52.97,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_7,19.52,52.96,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-06-12,DASH/USDT,PolynomialRegression_degree_8,20.69,73.78,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_8,20.48,73.77,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_8,20.22,73.75,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_8,20.12,73.74,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_8,20.17,73.72,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,PolynomialRegression_degree_8,19.65,73.7,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,PolynomialRegression_degree_8,19.85,73.68,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,PolynomialRegression_degree_8,19.92,73.67,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_8,19.52,73.66,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-06-12,DASH/USDT,PolynomialRegression_degree_9,20.69,78.22,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_9,20.48,78.2,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_9,20.22,78.19,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_9,20.12,78.17,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_9,20.17,78.15,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,PolynomialRegression_degree_9,19.65,78.14,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,PolynomialRegression_degree_9,19.85,78.12,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,PolynomialRegression_degree_9,19.92,78.1,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_9,19.52,78.09,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-06-12,DASH/USDT,PolynomialRegression_degree_10,20.69,80.78,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_10,20.48,80.76,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_10,20.22,80.75,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_10,20.12,80.73,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_10,20.17,80.71,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,PolynomialRegression_degree_10,19.65,80.7,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,PolynomialRegression_degree_10,19.85,80.68,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,PolynomialRegression_degree_10,19.92,80.66,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,PolynomialRegression_degree_10,19.52,80.64,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-06-12,DASH/USDT,Buy and Hold,20.69,20.69,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,Buy and Hold,20.48,20.48,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,Buy and Hold,20.22,20.22,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,Buy and Hold,20.12,20.12,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,Buy and Hold,20.17,20.17,19.65,Yes,974.87,974.87,949.73,-25.13,-0.0258
2025-06-17,DASH/USDT,Buy and Hold,19.65,19.65,19.85,Yes,949.73,949.73,959.4,9.67,0.0102
2025-06-18,DASH/USDT,Buy and Hold,19.85,19.85,19.92,Yes,959.4,959.4,962.78,3.38,0.0035
2025-06-19,DASH/USDT,Buy and Hold,19.92,19.92,19.52,Yes,962.78,962.78,943.45,-19.33,-0.0201
2025-06-20,DASH/USDT,Buy and Hold,19.52,19.52,18.82,Yes,943.45,943.45,909.62,-33.83,-0.0359
2025-05-13,EOS/USDT,LinearRegression,0.89,1.0,0.8,Yes,1000.0,1000.0,898.39,-101.61,-0.1016
2025-05-14,EOS/USDT,LinearRegression,0.8,0.88,0.78,Yes,898.39,898.39,885.06,-13.32,-0.0148
2025-05-15,EOS/USDT,LinearRegression,0.78,0.84,0.84,Yes,885.06,885.06,950.21,65.15,0.0736
2025-05-16,EOS/USDT,LinearRegression,0.84,0.87,0.81,Yes,950.21,950.21,913.51,-36.69,-0.0386
2025-05-17,EOS/USDT,LinearRegression,0.81,0.79,0.82,No,913.51,0.0,913.51,0.0,0.0
2025-05-18,EOS/USDT,LinearRegression,0.82,0.79,0.78,No,913.51,0.0,913.51,0.0,0.0
2025-05-19,EOS/USDT,LinearRegression,0.78,0.78,0.79,No,913.51,0.0,913.51,0.0,0.0
2025-05-20,EOS/USDT,LinearRegression,0.79,0.77,0.76,No,913.51,0.0,913.51,0.0,0.0
2025-05-21,EOS/USDT,LinearRegression,0.76,0.79,0.76,Yes,913.51,913.51,920.5,6.99,0.0077
2025-05-13,EOS/USDT,MLPRegressor,0.89,0.95,0.8,Yes,1000.0,1000.0,898.39,-101.61,-0.1016
2025-05-14,EOS/USDT,MLPRegressor,0.8,0.86,0.78,Yes,898.39,898.39,885.06,-13.32,-0.0148
2025-05-15,EOS/USDT,MLPRegressor,0.78,0.83,0.84,Yes,885.06,885.06,950.21,65.15,0.0736
2025-05-16,EOS/USDT,MLPRegressor,0.84,0.85,0.81,Yes,950.21,950.21,913.51,-36.69,-0.0386
2025-05-17,EOS/USDT,MLPRegressor,0.81,0.79,0.82,No,913.51,0.0,913.51,0.0,0.0
2025-05-18,EOS/USDT,MLPRegressor,0.82,0.79,0.78,No,913.51,0.0,913.51,0.0,0.0
2025-05-19,EOS/USDT,MLPRegressor,0.78,0.76,0.79,No,913.51,0.0,913.51,0.0,0.0
2025-05-20,EOS/USDT,MLPRegressor,0.79,0.75,0.76,No,913.51,0.0,913.51,0.0,0.0
2025-05-21,EOS/USDT,MLPRegressor,0.76,0.77,0.76,Yes,913.51,913.51,920.5,6.99,0.0077
2025-05-13,EOS/USDT,PolynomialRegression_degree_2,0.89,0.9,0.8,Yes,1000.0,1000.0,898.39,-101.61,-0.1016
2025-05-14,EOS/USDT,PolynomialRegression_degree_2,0.8,0.86,0.78,Yes,898.39,898.39,885.06,-13.32,-0.0148
2025-05-15,EOS/USDT,PolynomialRegression_degree_2,0.78,0.83,0.84,Yes,885.06,885.06,950.21,65.15,0.0736
2025-05-16,EOS/USDT,PolynomialRegression_degree_2,0.84,0.86,0.81,Yes,950.21,950.21,913.51,-36.69,-0.0386
2025-05-17,EOS/USDT,PolynomialRegression_degree_2,0.81,0.78,0.82,No,913.51,0.0,913.51,0.0,0.0
